,City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Moron,HT,100,1570072666,77,18.56,-74.26,80.23,2.68
1,Provideniya,RU,75,1570072760,80,64.42,-173.23,39.2,15.66
2,Praia da Vitoria,PT,75,1570073228,82,38.73,-27.07,64.4,8.43
3,Kaeo,NZ,36,1570072680,80,-35.1,173.78,61.0,10.78
4,Saint-Leu,RE,0,1570073230,64,-21.15,55.28,75.2,4.7
5,Hobart,AU,0,1570073170,31,-42.88,147.33,81.0,10.29
6,Mar del Plata,AR,0,1570073233,37,-46.43,-67.52,46.48,7.56
7,Nantucket,US,90,1570073193,87,41.28,-70.1,57.99,16.11
8,Kloulklubed,PW,75,1570073046,70,7.04,134.26,86.0,9.17
9,Hilo,US,90,1570073237,69,19.71,-155.08,80.6,8.05
10,Ushuaia,AR,40,1570073238,65,-54.81,-68.31,41.0,29.97
11,Dwarka,IN,40,1570073239,69,28.58,77.04,86.0,3.49
12,Saint George,GR,20,1570072660,93,39.45,22.34,60.8,2.28
13,Punta Arenas,CL,0,1570073242,77,-53.16,-70.91,41.0,28.86
14,Nouadhibou,MR,36,1570073243,51,20.93,-17.03,80.6,13.87
15,Honiara,SB,20,1570073244,59,-9.43,159.96,89.6,13.87
16,Saskylakh,RU,4,1570073246,76,71.97,114.09,19.39,0.87
17,Yellowknife,CA,75,1570073247,61,62.45,-114.38,48.2,10.29
18,Kargopol,RU,96,1570073248,89,61.51,38.95,35.84,9.24
19,Rikitea,PF,90,1570072985,76,-23.12,-134.97,64.39,9.8
20,Bridlington,GB,0,1570073251,86,54.08,-0.19,42.01,4.7
21,Jamestown,AU,12,1570073167,19,-33.21,138.6,83.45,1.45
22,Albany,US,90,1570073220,62,42.65,-73.75,53.01,11.41
23,Senekal,ZA,0,1570073255,65,-28.32,27.62,43.85,7.2
24,Ilulissat,GL,0,1570073256,31,69.22,-51.1,48.2,27.51
